0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
,,Travel,Travel,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
"KOREA, REPUBLIC OF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Departures,Departures,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total departures,Total departures,Total departures,Thousands,,,3819,4649,4542,3067,4342,5508,6084,7123,7086,8826,10080,11610,13325,11996,9494,12488,12694,13737,14846,16081,19310,22383,26496,28696,28714,4276,1223,
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,US$ Millions,,IMF,6947,8291,8039,4027,5555,7945,8349,11440,11063,13507,16924,20947,24431,21447,16355,20788,22195,22934,24459,26136,27957,29817,34453,38022,35339,16647,17177,
,,Travel,Travel,,US$ Millions,,IMF,6341,7482,6988,3470,4881,7132,7617,10465,10103,12350,15406,18809,21957,19056,15035,18766,19920,20645,21648,23192,25270,27243,31691,35133,32739,16092,16683,
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,IMF,606,809,1051,557,674,813,732,975,960,1157,1518,2138,2474,2391,1320,2022,2275,2289,2811,2944,2687,2574,2762,2889,2600,555,494,
KUWAIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Departures,Departures,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total departures,Total departures,Total departures,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,,,878,1051,1097,1264,1209,1236,1666,1725,1774,1928,2173,2529,2649,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,US$ Millions,,IMF,2514,2779,2684,2823,2574,2852,3207,3412,3750,4147,4997,6074,7267,8341,6799,7106,8879,10073,10567,12280,13148,13232,13722,14318,15839,6831,8093,
,,Travel,Travel,,US$ Millions,,IMF,2248,2492,2377,2517,2270,2495,2842,3021,3348,3701,4532,5573,6636,7570,6189,6434,8064,9249,9653,11268,12381,12337,12548,14318,15839,6831,7852,
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,IMF,266,287,307,306,304,357,365,391,402,446,465,501,631,771,610,672,815,824,914,1012,767,895,1174,..,..,..,241,
KYRGYZSTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Departures,Departures,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total departures,Total departures,Total departures,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,2273,2354,1342,3061,3621,3993,3790,4008,4185,4446,6839,5314,1520,1808,
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,,,42,..,..,33,45,47,46,59,116,239,201,454,559,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,US$ Millions,,IMF,..,7,11,25,27,28,21,27,35,73,94,142,215,450,273,275,392,529,505,568,535,582,422,451,519,185,214,
,,Travel,Travel,,US$ Millions,,IMF,7,6,4,4,11,16,12,10,17,50,58,92,112,304,147,148,247,350,350,390,399,461,292,314,391,89,73,
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,IMF,..,1,7,21,16,12,9,17,18,23,36,50,103,146,126,127,145,179,155,178,136,121,130,137,128,96,141,
LAO PEOPLE´S  DEMOCRATIC REPUBLIC,LAO PEOPLE´S  DEMOCRATIC REPUBLIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Departures,Departures,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total departures,Total departures,Total departures,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1686,1788,2052,2857,3320,3067,3059,3049,3207,2690,707,..,
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,US$ Millions,,IMF,34,28,27,29,17,..,4,4,5,8,10,15,14,51,91,215,248,614,907,1054,1002,912,930,1005,1029,260,3.8,
,,Travel,Travel,,US$ Millions,,IMF,30,22,21,23,12,8,0.1,0.3,1,4,5,9,8,41,83,203,237,605,904,1051,998,912,922,992,1011,251,0.1,
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,IMF,4,6,6,6,5,..,4,4,4,4,5,6,6,10,8,12,11,9,3,3,4,0.1,8,13,18,9,3.7,
LATVIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Departures,Departures,Departures,,,1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ From 2012  source: Household survey.
,,Total departures,Total departures,Total departures,Thousands,,,1812,1798,1877,1961,2256,2596,2697,2306,2286,2457,2959,3151,3398,3782,3268,3332,3257,1830,1776,1846,1720,1939,2055,2175,2384,690,629,1/ From 2012  source: Household survey.
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1573,1650,1530,1398,1246,1362,1242,1250,1265,1368,1480,432,512,1/ From 2012  source: Household survey.
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1695,1682,1727,432,530,484,478,689,790,807,904,258,117,1/ From 2012  source: Household survey.
,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,US$ Millions,,IMF,62,407,379,355,321,281,255,267,365,428,655,788,1021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1/ From 2012  source: Household survey.
,,Travel,Travel,,US$ Millions,,IMF,24,373,326,305,268,247,223,230,328,377,584,704,927,1139,798,648,765,680,715,715,618,699,728,778,748,553,736,1/ From 2012  source: Household survey.
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,IMF,38,34,53,50,53,34,32,37,37,51,71,84,94,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1/ From 2012  source: Household survey.
LEBANON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Departures,Departures,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total departures,Total departures,Total departures,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,US$ Millions,,IMF,..,..,..,..,..,..,..,..,3319,3719,3565,3783,3914,4297,4928,4868,4440,4511,4692,5198,5187,5252,5704,6395,6495,1699,1872,
,,Travel,Travel,,US$ Millions,,IMF,..,..,..,..,..,..,..,2683,2943,3170,2908,3006,3114,3564,4012,4515,4004,4199,4388,4995,4741,5040,5587,6254,6338,1671,1816,
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,IMF,..,..,..,..,..,..,..,..,376,549,657,777,800,733,916,353,436,312,304,203,446,212,117,141,157,28,56,
LESOTHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Departures,Departures,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total departures,Total departures,Total departures,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,US$ Millions,,IMF,17,16,17,16,17,195,166,164,242,278,271,263,276,248,247,278,300,252,212,177,180,262,307,347,323,272,289,
,,Travel,Travel,,US$ Millions,,IMF,13,12,14,13,14,192,163,162,238,271,262,260,268,243,239,270,290,245,206,170,174,258,303,342,319,271,289,
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,IMF,4,4,3,3,3,3,3,2,4,7,9,3,8,5,8,8,10,7,6,7,6,4,4,5,4,1,0.1,
LIBERIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Departures,Departures,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total departures,Total departures,Total departures,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,29,33,41,48,58,51,..,..,..,..,..,..,..,..,..,..,..,..,
,,Travel,Travel,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,14,16,17,21,30,29,2,2,2,2,2,3,4,6,8,6,..,..,
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,15,17,24,27,28,22,..,..,..,..,..,..,..,..,..,..,..,..,
LIBYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Departures,Departures,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total departures,Total departures,Total departures,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,,,484,493,650,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,US$ Millions,,IMF,98,85,286,423,574,495,572,654,689,789,920,915,1010,1339,1683,2184,..,2654,2598,1325,1066,813,2005,2042,2822,836,..,
,,Travel,Travel,,US$ Millions,,IMF,76,67,269,281,402,397,445,586,557,603,680,668,889,1277,1587,2047,2269,2557,2425,1143,967,714,2005,2042,2822,836,..,
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,IMF,22,18,17,142,172,98,127,68,132,186,240,247,121,62,96,137,..,97,173,182,99,99,..,..,..,..,..,
LIECHTENSTEIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Departures,Departures,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total departures,Total departures,Total departures,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Travel,Travel,,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
LITHUANIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Departures,Departures,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total departures,Total departures,Total departures,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,4362,3627,3847,3639,4311,4020,4108,4228,4292,3981,4143,4294,4702,4881,1643,1743,
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,,,1925,2864,2981,3241,3487,3632,3390,3584,3502,..,1633,1789,1661,1757,1288,1411,1526,1708,1764,1789,1860,1953,2032,2244,2347,682,830,
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,2572,1967,2090,2351,2900,2493,2401,2464,2503,2121,2191,2262,2458,2534,961,913,
,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,US$ Millions,,IMF,107,270,289,304,350,261,227,334,476,643,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Travel,Travel,,US$ Millions,,IMF,106,266,277,292,341,253,219,326,471,636,743,909,1144,1530,1119,849,859,925,1069,1059,951,1012,1115,1400,1388,538,575,
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,IMF,1,4,12,12,9,8,8,8,5,7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
LUXEMBOURG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Departures,Departures,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ From 2010 the  expenditure figures used were the ones provided by the country to UNWTO, as  this data series is more complete than that provided by the International  Monetary Fund (IMF)."
,,Total departures,Total departures,Total departures,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ From 2010 the  expenditure figures used were the ones provided by the country to UNWTO, as  this data series is more complete than that provided by the International  Monetary Fund (IMF)."
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,,,..,..,694,757,809,950,923,1049,1021,1100,1185,1084,1132,1190,1362,1237,1643,1580,1624,1815,1702,1588,2346,2510,2548,1460,1814,"1/ From 2010 the  expenditure figures used were the ones provided by the country to UNWTO, as  this data series is more complete than that provided by the International  Monetary Fund (IMF)."
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ From 2010 the  expenditure figures used were the ones provided by the country to UNWTO, as  this data series is more complete than that provided by the International  Monetary Fund (IMF)."
,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,US$ Millions,1/,IMF,..,..,..,..,..,..,..,1557,1945,2254,2321,2305,2657,2832,2666,2536,2727,2439,2595,2874,2335,2266,2946,3392,3681,2813,3883,"1/ From 2010 the  expenditure figures used were the ones provided by the country to UNWTO, as  this data series is more complete than that provided by the International  Monetary Fund (IMF)."
,,Travel,Travel,,US$ Millions,1/,IMF,1193,1189,1115,1335,1316,1309,1464,1536,1916,2212,2272,2245,2571,2730,2573,2448,2628,2344,2519,2795,2280,2210,2892,3322,3631,2764,3829,"1/ From 2010 the  expenditure figures used were the ones provided by the country to UNWTO, as  this data series is more complete than that provided by the International  Monetary Fund (IMF)."
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,1/,IMF,..,..,..,..,..,..,..,21,29,42,49,61,86,102,93,88,99,96,76,78,55,56,54,70,50,49,54,"1/ From 2010 the  expenditure figures used were the ones provided by the country to UNWTO, as  this data series is more complete than that provided by the International  Monetary Fund (IMF)."
"MACAO, CHINA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Departures,Departures,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total departures,Total departures,Total departures,Thousands,,,..,..,..,..,..,..,..,..,..,..,629,645,599,606,671,753,908,1291,1446,1537,1466,1251,1391,1780,1765,124,148,
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,US$ Millions,,IMF,..,..,..,..,..,..,..,512,471,529,475,506,608,695,714,883,1064,1155,1239,1385,1435,1500,1702,1941,2034,886,901,
,,Travel,Travel,,US$ Millions,,IMF,..,..,..,..,..,..,..,492,455,512,412,433,526,621,646,800,964,1083,1135,1254,1326,1404,1600,1837,1922,845,901,
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,IMF,..,..,..,..,..,..,..,20,16,17,63,73,82,74,68,83,100,72,104,131,109,96,102,104,112,41,..,
MADAGASCAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Departures,Departures,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total departures,Total departures,Total departures,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,,,39,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,US$ Millions,,IMF,79,89,101,140,133,139,179,192,67,108,164,167,188,264,225,216,288,235,256,317,240,300,319,309,319,84,125,
,,Travel,Travel,,US$ Millions,,IMF,59,72,80,119,111,115,130,160,64,93,75,86,97,141,111,104,150,108,133,156,141,141,164,183,177,66,96,
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,IMF,20,17,21,21,22,24,49,32,3,15,89,81,91,123,114,112,138,127,123,161,99,159,155,126,142,18,29,
MALAWI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Departures,Departures,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total departures,Total departures,Total departures,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,244,..,..,
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,120,..,..,
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,US$ Millions,,IMF,53,64,81,49,52,53,52,86,70,70,84,85,79,86,91,90,92,96,90,106,121,100,159,174,168,130,140,
,,Travel,Travel,,US$ Millions,,IMF,39,50,70,39,47,50,40,78,57,60,54,55,57,61,63,61,61,65,62,74,86,72,114,125,161,126,136,
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,IMF,14,14,11,10,5,3,12,8,13,10,30,30,22,25,28,29,31,31,28,32,35,28,45,49,7,4,4,
MALAYSIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Departures,Departures,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Outgoing  Peninsular Malaysians, including departures via Johore Causeway by road."
,,Total departures,Total departures,Total departures,Thousands,1/,,20642,23333,26165,25631,26067,30532,36248,29866,32201,30761,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ Outgoing  Peninsular Malaysians, including departures via Johore Causeway by road."
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ Outgoing  Peninsular Malaysians, including departures via Johore Causeway by road."
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ Outgoing  Peninsular Malaysians, including departures via Johore Causeway by road."
,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,US$ Millions,,IMF,2722,3032,3158,2160,2382,2543,3391,3330,3401,3822,4339,5085,6600,7724,7196,9258,11136,13165,13377,13893,11599,11339,12145,13207,13694,5190,3725,"1/ Outgoing  Peninsular Malaysians, including departures via Johore Causeway by road."
,,Travel,Travel,,US$ Millions,,IMF,2314,2569,2590,1785,1973,2075,2614,2618,2846,3178,3711,4257,5601,6709,6508,8324,10180,12217,12236,12442,10708,10472,10829,12127,12385,4787,3591,"1/ Outgoing  Peninsular Malaysians, including departures via Johore Causeway by road."
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,IMF,408,463,568,375,409,468,777,712,555,644,628,828,999,1015,688,934,956,948,1141,1451,891,867,1316,1080,1309,403,134,"1/ Outgoing  Peninsular Malaysians, including departures via Johore Causeway by road."
MALDIVES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Departures,Departures,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total departures,Total departures,Total departures,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,,,32,32,33,37,42,42,41,43,44,61,77,74,102,123,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,US$ Millions,,IMF,41,48,51,55,58,60,59,60,60,75,94,106,152,211,212,252,231,207,252,271,309,347,369,414,431,126,188,
,,Travel,Travel,,US$ Millions,,IMF,31,38,40,42,45,46,45,46,46,56,70,78,122,167,174,205,184,164,204,208,253,284,308,338,349,112,164,
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,IMF,10,10,11,13,13,14,14,14,14,19,24,28,30,44,38,47,47,43,48,63,56,63,61,76,82,14,24,
MALI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Departures,Departures,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total departures,Total departures,Total departures,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,US$ Millions,,IMF,74,69,65,67,65,66,65,62,94,125,133,196,201,228,191,167,171,164,189,231,207,213,221,255,260,155,..,
,,Travel,Travel,,US$ Millions,,IMF,49,40,38,38,40,40,36,36,48,66,77,120,137,147,102,111,119,102,118,144,150,157,160,179,195,125,..,
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,IMF,25,29,27,29,25,26,29,26,46,59,56,76,64,81,89,56,52,62,71,87,57,56,61,76,65,30,..,
MALTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Departures,Departures,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total departures,Total departures,Total departures,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,292,292,328,348,368,404,430,456,550,633,728,774,218,344,
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,,,163,168,172,167,179,200,179,157,174,203,225,257,280,261,264,294,309,331,363,391,428,497,573,667,707,197,303,
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,31,28,34,39,37,41,39,48,53,60,61,67,21,41,
,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,Tourism expenditure in other countries,US$ Millions,,IMF,237,244,216,221,231,224,204,180,238,291,311,362,284,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Travel,Travel,,US$ Millions,,IMF,214,219,190,193,201,200,180,154,215,255,268,320,237,307,291,309,333,339,384,397,368,408,472,518,530,127,240,
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,IMF,23,25,26,28,30,24,24,26,23,36,43,42,47,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
MARSHALL ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Departures,Departures,Departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ 1995-2004  country data. Fiscal years (October 1 to September 30).
,,Total departures,Total departures,Total departures,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1/ 1995-2004  country data. Fiscal years (October 1 to September 30).
