0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
,,,Land,Land,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ Arrivals by  air; excluding the north islands (Saint Martin and Saint Barthelemy).  2/ 1995-2001: non-resident tourists staying in all types of accommodation  establishments.  2003,2004: non-resident tourists staying in hotels only. 2005: data based  on a survey conducted at Guadeloupe airport.  2013: including residents and non-residents. Source: OAG Aviation  software.  3/ The expenditure figures are those provided by the country to UNWTO,  which do not appear in the International Monetary Fund data."
,Accommodation,Accommodation,Accommodation,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Arrivals by  air; excluding the north islands (Saint Martin and Saint Barthelemy).  2/ 1995-2001: non-resident tourists staying in all types of accommodation  establishments.  2003,2004: non-resident tourists staying in hotels only. 2005: data based  on a survey conducted at Guadeloupe airport.  2013: including residents and non-residents. Source: OAG Aviation  software.  3/ The expenditure figures are those provided by the country to UNWTO,  which do not appear in the International Monetary Fund data."
,,Total,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Arrivals by  air; excluding the north islands (Saint Martin and Saint Barthelemy).  2/ 1995-2001: non-resident tourists staying in all types of accommodation  establishments.  2003,2004: non-resident tourists staying in hotels only. 2005: data based  on a survey conducted at Guadeloupe airport.  2013: including residents and non-residents. Source: OAG Aviation  software.  3/ The expenditure figures are those provided by the country to UNWTO,  which do not appear in the International Monetary Fund data."
,,,Guests,Guests,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ Arrivals by  air; excluding the north islands (Saint Martin and Saint Barthelemy).  2/ 1995-2001: non-resident tourists staying in all types of accommodation  establishments.  2003,2004: non-resident tourists staying in hotels only. 2005: data based  on a survey conducted at Guadeloupe airport.  2013: including residents and non-residents. Source: OAG Aviation  software.  3/ The expenditure figures are those provided by the country to UNWTO,  which do not appear in the International Monetary Fund data."
,,,Overnights,Overnights,Thousands,,,3840,3750,3960,4158,..,..,..,..,..,..,..,5382,5595,5688,4833,5189,5374,..,5129,..,..,..,..,..,..,..,..,"1/ Arrivals by  air; excluding the north islands (Saint Martin and Saint Barthelemy).  2/ 1995-2001: non-resident tourists staying in all types of accommodation  establishments.  2003,2004: non-resident tourists staying in hotels only. 2005: data based  on a survey conducted at Guadeloupe airport.  2013: including residents and non-residents. Source: OAG Aviation  software.  3/ The expenditure figures are those provided by the country to UNWTO,  which do not appear in the International Monetary Fund data."
,,Hotels and similar establishments,Hotels and similar establishments,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Arrivals by  air; excluding the north islands (Saint Martin and Saint Barthelemy).  2/ 1995-2001: non-resident tourists staying in all types of accommodation  establishments.  2003,2004: non-resident tourists staying in hotels only. 2005: data based  on a survey conducted at Guadeloupe airport.  2013: including residents and non-residents. Source: OAG Aviation  software.  3/ The expenditure figures are those provided by the country to UNWTO,  which do not appear in the International Monetary Fund data."
,,,Guests,Guests,Thousands,,,..,..,..,..,388,419,379,..,439,456,..,..,654,524,384,407,424,..,..,..,..,..,..,..,..,..,..,"1/ Arrivals by  air; excluding the north islands (Saint Martin and Saint Barthelemy).  2/ 1995-2001: non-resident tourists staying in all types of accommodation  establishments.  2003,2004: non-resident tourists staying in hotels only. 2005: data based  on a survey conducted at Guadeloupe airport.  2013: including residents and non-residents. Source: OAG Aviation  software.  3/ The expenditure figures are those provided by the country to UNWTO,  which do not appear in the International Monetary Fund data."
,,,Overnights,Overnights,Thousands,,,926,876,849,850,847,3233,..,..,1534,1736,..,1694,2277,1694,1262,1327,1421,..,1487,..,..,..,..,..,..,..,..,"1/ Arrivals by  air; excluding the north islands (Saint Martin and Saint Barthelemy).  2/ 1995-2001: non-resident tourists staying in all types of accommodation  establishments.  2003,2004: non-resident tourists staying in hotels only. 2005: data based  on a survey conducted at Guadeloupe airport.  2013: including residents and non-residents. Source: OAG Aviation  software.  3/ The expenditure figures are those provided by the country to UNWTO,  which do not appear in the International Monetary Fund data."
,Tourism expenditure in the country,Tourism expenditure in the country,Tourism expenditure in the country,Tourism expenditure in the country,US$ Millions,3/,country,458,496,372,466,375,418,..,..,..,..,306,299,342,384,293,510,582,..,671,..,614,..,..,860,..,..,..,"1/ Arrivals by  air; excluding the north islands (Saint Martin and Saint Barthelemy).  2/ 1995-2001: non-resident tourists staying in all types of accommodation  establishments.  2003,2004: non-resident tourists staying in hotels only. 2005: data based  on a survey conducted at Guadeloupe airport.  2013: including residents and non-residents. Source: OAG Aviation  software.  3/ The expenditure figures are those provided by the country to UNWTO,  which do not appear in the International Monetary Fund data."
,,Travel,Travel,,US$ Millions,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ Arrivals by  air; excluding the north islands (Saint Martin and Saint Barthelemy).  2/ 1995-2001: non-resident tourists staying in all types of accommodation  establishments.  2003,2004: non-resident tourists staying in hotels only. 2005: data based  on a survey conducted at Guadeloupe airport.  2013: including residents and non-residents. Source: OAG Aviation  software.  3/ The expenditure figures are those provided by the country to UNWTO,  which do not appear in the International Monetary Fund data."
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ Arrivals by  air; excluding the north islands (Saint Martin and Saint Barthelemy).  2/ 1995-2001: non-resident tourists staying in all types of accommodation  establishments.  2003,2004: non-resident tourists staying in hotels only. 2005: data based  on a survey conducted at Guadeloupe airport.  2013: including residents and non-residents. Source: OAG Aviation  software.  3/ The expenditure figures are those provided by the country to UNWTO,  which do not appear in the International Monetary Fund data."
GUAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arrivals,Arrivals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Arrivals by  air and sea.  2/ Up to 2015, civilian arrivals by air only."
,,Total arrivals,Total arrivals,Total arrivals,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ Arrivals by  air and sea.  2/ Up to 2015, civilian arrivals by air only."
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,1/,TF,1362,1373,1382,1137,1162,1287,1159,1059,910,1160,1228,1212,1225,1142,1053,1197,1160,1308,1334,1343,1409,1536,1545,1549,1667,328,79,"1/ Arrivals by  air and sea.  2/ Up to 2015, civilian arrivals by air only."
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ Arrivals by  air and sea.  2/ Up to 2015, civilian arrivals by air only."
,,,,"of which, cruise passengers",Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ Arrivals by  air and sea.  2/ Up to 2015, civilian arrivals by air only."
,Arrivals by region,Arrivals by region,Arrivals by region,Arrivals by region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Arrivals by  air and sea.  2/ Up to 2015, civilian arrivals by air only."
,,Total,Total,,Thousands,1/,TF,1362,1363,1382,1137,1162,1286,1159,1058,..,1160,1228,1211,1225,1142,1053,1197,1160,1308,1334,1343,1409,1536,1545,1549,1667,328,79,"1/ Arrivals by  air and sea.  2/ Up to 2015, civilian arrivals by air only."
,,,Africa,Africa,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ Arrivals by  air and sea.  2/ Up to 2015, civilian arrivals by air only."
,,,Americas,Americas,Thousands,,,57,36,44,42,42,42,43,43,..,47,46,45,50,54,56,62,62,63,60,70,71,79,78,103,95,35,50,"1/ Arrivals by  air and sea.  2/ Up to 2015, civilian arrivals by air only."
,,,East Asia and the Pacific,East Asia and the Pacific,Thousands,,,1276,1308,1324,1079,1105,1231,1077,984,..,1069,1134,1134,1125,1034,983,1120,1082,1225,1252,1237,1320,1428,1433,1429,1557,290,27,"1/ Arrivals by  air and sea.  2/ Up to 2015, civilian arrivals by air only."
,,,Europe,Europe,Thousands,,,..,1,2,2,2,2,1,1,..,2,2,1,2,2,2,2,2,6,10,18,5,5,5,7,7,1,1,"1/ Arrivals by  air and sea.  2/ Up to 2015, civilian arrivals by air only."
,,,Middle East,Middle East,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ Arrivals by  air and sea.  2/ Up to 2015, civilian arrivals by air only."
,,,South Asia,South Asia,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..,..,"1/ Arrivals by  air and sea.  2/ Up to 2015, civilian arrivals by air only."
,,,Other not classified,Other not classified,Thousands,,,29,18,12,14,13,11,38,30,..,42,46,31,48,52,12,13,14,14,12,18,13,24,29,8,8,2,1,"1/ Arrivals by  air and sea.  2/ Up to 2015, civilian arrivals by air only."
,,,,"of which, nationals residing abroad",Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ Arrivals by  air and sea.  2/ Up to 2015, civilian arrivals by air only."
,Arrivals by main purpose,Arrivals by main purpose,Arrivals by main purpose,Arrivals by main purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Arrivals by  air and sea.  2/ Up to 2015, civilian arrivals by air only."
,,Total,Total,,Thousands,1/ 2/,TF,..,..,1373,1129,1156,1269,1332,1023,851,1121,1185,1184,1181,1092,1044,1188,1150,1299,1329,1331,1383,1517,1544,1532,1656,274,43,"1/ Arrivals by  air and sea.  2/ Up to 2015, civilian arrivals by air only."
,,,Personal,Personal,Thousands,,,..,..,1347,1106,1135,1249,1314,1006,834,1090,1148,1149,1145,1061,1007,1146,1111,1255,1287,1286,1341,1464,1474,1486,1604,264,29,"1/ Arrivals by  air and sea.  2/ Up to 2015, civilian arrivals by air only."
,,,Business and professional,Business and professional,Thousands,,,..,..,26,23,21,20,18,17,17,31,37,35,36,31,37,42,39,44,42,45,42,53,70,47,51,10,14,"1/ Arrivals by  air and sea.  2/ Up to 2015, civilian arrivals by air only."
,Arrivals by mode of transport,Arrivals by mode of transport,Arrivals by mode of transport,Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Arrivals by  air and sea.  2/ Up to 2015, civilian arrivals by air only."
,,Total,Total,,Thousands,,TF,1361,1372,1381,1137,1162,1287,1159,1059,909,1160,1228,1212,1225,1142,1052,1197,1160,1308,1334,1343,1409,1536,1545,1549,1667,328,79,"1/ Arrivals by  air and sea.  2/ Up to 2015, civilian arrivals by air only."
,,,Air,,Thousands,,,1350,1362,1373,1129,1156,1279,1124,1031,857,1121,1185,1184,1181,1093,1044,1188,1150,1299,1329,1331,1400,1517,1522,1532,1656,327,78,"1/ Arrivals by  air and sea.  2/ Up to 2015, civilian arrivals by air only."
,,,Water,Water,Thousands,,,11,10,8,8,6,8,35,28,52,39,43,28,44,49,8,9,10,9,6,12,9,18,23,17,11,2,1,"1/ Arrivals by  air and sea.  2/ Up to 2015, civilian arrivals by air only."
,,,Land,Land,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ Arrivals by  air and sea.  2/ Up to 2015, civilian arrivals by air only."
,Accommodation,Accommodation,Accommodation,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Arrivals by  air and sea.  2/ Up to 2015, civilian arrivals by air only."
,,Total,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Arrivals by  air and sea.  2/ Up to 2015, civilian arrivals by air only."
,,,Guests,Guests,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ Arrivals by  air and sea.  2/ Up to 2015, civilian arrivals by air only."
,,,Overnights,Overnights,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ Arrivals by  air and sea.  2/ Up to 2015, civilian arrivals by air only."
,,Hotels and similar establishments,Hotels and similar establishments,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Arrivals by  air and sea.  2/ Up to 2015, civilian arrivals by air only."
,,,Guests,Guests,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,953,934,859,794,869,859,959,977,994,1055,1163,1182,1218,1309,249,36,"1/ Arrivals by  air and sea.  2/ Up to 2015, civilian arrivals by air only."
,,,Overnights,Overnights,Thousands,,,4086,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ Arrivals by  air and sea.  2/ Up to 2015, civilian arrivals by air only."
,Tourism expenditure in the country,Tourism expenditure in the country,Tourism expenditure in the country,Tourism expenditure in the country,US$ Millions,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ Arrivals by  air and sea.  2/ Up to 2015, civilian arrivals by air only."
,,Travel,Travel,,US$ Millions,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ Arrivals by  air and sea.  2/ Up to 2015, civilian arrivals by air only."
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ Arrivals by  air and sea.  2/ Up to 2015, civilian arrivals by air only."
GUATEMALA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arrivals,Arrivals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total arrivals,Total arrivals,Total arrivals,Thousands,,VF,563,520,576,636,823,826,835,884,880,1182,1316,1502,1628,1715,1311,1384,1434,1491,1516,1739,1865,1906,2120,2406,2560,594,666,
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,,TF,..,..,..,..,..,..,..,..,..,..,..,..,1448,1527,1055,1119,1160,1200,1224,1371,1473,1585,1667,1781,1752,396,602,
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,11,18,35,179,188,256,264,275,291,291,368,392,321,454,625,807,198,64,
,,,,"of which, cruise passengers",Thousands,,,..,..,..,..,..,..,..,..,..,11,18,35,42,63,81,72,72,73,72,71,77,104,129,150,131,42,4,
,Arrivals by region,Arrivals by region,Arrivals by region,Arrivals by region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,Total,,Thousands,,VF,563,519,576,636,823,826,835,884,881,1182,1315,1502,1628,1715,1311,1384,1434,1491,1516,1739,1865,1906,2120,2406,2560,594,666,
,,,Africa,Africa,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2,1,1,1,2,2,2,2,2,2,2,0.4,0.5,
,,,Americas,Americas,Thousands,,,446,409,457,505,693,688,676,712,704,1007,1148,1325,1444,1518,1088,1163,1218,1275,1293,1495,1611,1632,1803,2063,2243,502,615,
,,,East Asia and the Pacific,East Asia and the Pacific,Thousands,,,12,12,14,15,15,17,22,24,22,23,25,28,30,30,20,22,23,26,27,31,31,30,33,32,31,7,6,
,,,Europe,Europe,Thousands,,,104,97,104,115,114,119,135,145,151,150,140,147,152,165,118,119,116,114,120,138,140,135,150,154,150,41,40,
,,,Middle East,Middle East,Thousands,,,..,..,..,..,..,..,..,1,1,..,1,..,..,..,0.4,0.4,0.4,0.5,0.6,0.8,0.8,0.8,1.2,1.2,1.2,0.3,0.4,
,,,South Asia,South Asia,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,5,3,2,2,2,2,2,2,3,3,0.7,0.6,
,,,Other not classified,Other not classified,Thousands,,,1,1,1,1,1,2,2,2,3,2,1,2,2,2,81,73,72,73,72,71,77,104,129,150,131,42,4,
,,,,"of which, nationals residing abroad",Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,Arrivals by main purpose,Arrivals by main purpose,Arrivals by main purpose,Arrivals by main purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,Total,,Thousands,,VF,564,520,576,..,..,..,..,..,..,..,..,1502,1627,1715,1311,1384,1434,1491,1516,1739,1865,1906,2120,2406,2560,594,666,
,,,Personal,Personal,Thousands,,,389,359,397,..,..,..,..,..,..,..,..,1187,1285,1320,1066,1101,1151,1196,1217,1402,1470,1669,1819,2067,2203,509,532,
,,,Business and professional,Business and professional,Thousands,,,175,161,179,..,..,..,..,..,..,..,..,315,342,395,245,282,283,295,299,337,395,237,302,339,356,85,134,
,Arrivals by mode of transport,Arrivals by mode of transport,Arrivals by mode of transport,Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,Total,,Thousands,,VF,563,520,577,636,823,826,836,884,880,1182,1316,1502,1627,1715,1311,1384,1434,1491,1516,1739,1865,1906,2120,2406,2560,594,666,
,,,Air,,Thousands,,,299,269,303,331,358,366,408,403,402,434,480,497,558,556,494,521,508,537,553,598,640,681,738,783,806,205,359,
,,,Water,Water,Thousands,,,22,19,42,47,27,10,11,15,26,34,31,63,52,71,92,83,83,84,83,82,87,112,136,150,131,42,4,
,,,Land,Land,Thousands,,,242,232,232,258,438,450,417,466,452,714,805,942,1017,1088,725,779,843,871,880,1059,1138,1113,1246,1472,1623,347,303,
,Accommodation,Accommodation,Accommodation,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Guests,Guests,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Overnights,Overnights,Thousands,,,3674,3691,4380,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Hotels and similar establishments,Hotels and similar establishments,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Guests,Guests,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Overnights,Overnights,Thousands,,,3195,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,Tourism expenditure in the country,Tourism expenditure in the country,Tourism expenditure in the country,Tourism expenditure in the country,US$ Millions,,IMF,216,221,270,329,374,498,588,647,646,630,791,919,1055,1098,1086,1053,1077,1110,1161,1164,1170,1203,1218,1235,1227,329,393,
,,Travel,Travel,,US$ Millions,,IMF,213,216,266,314,356,482,562,620,621,630,791,919,1055,1098,1086,1053,1077,1110,1160,1164,1169,1201,1213,1231,1221,327,388,
,,Passenger transport,Passenger transport,Passenger transport,US$ Millions,,IMF,3,5,4,15,18,16,26,27,25,..,..,..,..,0.3,0.3,0.3,0.4,..,0.7,0.4,1,2,5,4,6,2,5,
GUINEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arrivals,Arrivals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ 1996-2000,  2003, 2005-2008, 2010-2017: arrivals by air at Conakry airport.  2/ Arrivals by air at Conakry airport.  3/ Non-resident overnights in hotels, all categories included. Data come  from length of stay in hotels that have been declared by visitors in the E/D  cards at their airport arrival (non-declarations of length of stay are not  included).  4/ Including private accommodation.  5/ Arrivals by air at Conakry airport. Cross-checking of  ""arrivals"" and ""type of accommodation"" declared in the  E/D cards."
,,Total arrivals,Total arrivals,Total arrivals,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,47,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ 1996-2000,  2003, 2005-2008, 2010-2017: arrivals by air at Conakry airport.  2/ Arrivals by air at Conakry airport.  3/ Non-resident overnights in hotels, all categories included. Data come  from length of stay in hotels that have been declared by visitors in the E/D  cards at their airport arrival (non-declarations of length of stay are not  included).  4/ Including private accommodation.  5/ Arrivals by air at Conakry airport. Cross-checking of  ""arrivals"" and ""type of accommodation"" declared in the  E/D cards."
,,,Overnights visitors (tourists),Overnights visitors (tourists),Thousands,1/,TF,..,12,17,23,27,33,38,43,44,45,45,46,30,24,..,12,131,96,56,33,35,63,99,..,..,..,..,"1/ 1996-2000,  2003, 2005-2008, 2010-2017: arrivals by air at Conakry airport.  2/ Arrivals by air at Conakry airport.  3/ Non-resident overnights in hotels, all categories included. Data come  from length of stay in hotels that have been declared by visitors in the E/D  cards at their airport arrival (non-declarations of length of stay are not  included).  4/ Including private accommodation.  5/ Arrivals by air at Conakry airport. Cross-checking of  ""arrivals"" and ""type of accommodation"" declared in the  E/D cards."
,,,Same-day visitors (excursionists),Same-day visitors (excursionists),Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ 1996-2000,  2003, 2005-2008, 2010-2017: arrivals by air at Conakry airport.  2/ Arrivals by air at Conakry airport.  3/ Non-resident overnights in hotels, all categories included. Data come  from length of stay in hotels that have been declared by visitors in the E/D  cards at their airport arrival (non-declarations of length of stay are not  included).  4/ Including private accommodation.  5/ Arrivals by air at Conakry airport. Cross-checking of  ""arrivals"" and ""type of accommodation"" declared in the  E/D cards."
,,,,"of which, cruise passengers",Thousands,,,..,..,..,..,..,..,..,..,..,..,..,0.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ 1996-2000,  2003, 2005-2008, 2010-2017: arrivals by air at Conakry airport.  2/ Arrivals by air at Conakry airport.  3/ Non-resident overnights in hotels, all categories included. Data come  from length of stay in hotels that have been declared by visitors in the E/D  cards at their airport arrival (non-declarations of length of stay are not  included).  4/ Including private accommodation.  5/ Arrivals by air at Conakry airport. Cross-checking of  ""arrivals"" and ""type of accommodation"" declared in the  E/D cards."
,Arrivals by region,Arrivals by region,Arrivals by region,Arrivals by region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ 1996-2000,  2003, 2005-2008, 2010-2017: arrivals by air at Conakry airport.  2/ Arrivals by air at Conakry airport.  3/ Non-resident overnights in hotels, all categories included. Data come  from length of stay in hotels that have been declared by visitors in the E/D  cards at their airport arrival (non-declarations of length of stay are not  included).  4/ Including private accommodation.  5/ Arrivals by air at Conakry airport. Cross-checking of  ""arrivals"" and ""type of accommodation"" declared in the  E/D cards."
,,Total,Total,,Thousands,2/,TF,..,..,17,23,26,32,39,43,45,44,45,46,30,23.7,..,12.4,131.1,96.0,56.2,32.8,35.4,60.2,..,..,..,..,..,"1/ 1996-2000,  2003, 2005-2008, 2010-2017: arrivals by air at Conakry airport.  2/ Arrivals by air at Conakry airport.  3/ Non-resident overnights in hotels, all categories included. Data come  from length of stay in hotels that have been declared by visitors in the E/D  cards at their airport arrival (non-declarations of length of stay are not  included).  4/ Including private accommodation.  5/ Arrivals by air at Conakry airport. Cross-checking of  ""arrivals"" and ""type of accommodation"" declared in the  E/D cards."
,,,Africa,Africa,Thousands,,,..,..,3,4,9,13,18,22,16,13,15,18,10,10.0,..,4.6,44.0,40.0,20.2,11.2,12.2,21.1,..,..,..,..,..,"1/ 1996-2000,  2003, 2005-2008, 2010-2017: arrivals by air at Conakry airport.  2/ Arrivals by air at Conakry airport.  3/ Non-resident overnights in hotels, all categories included. Data come  from length of stay in hotels that have been declared by visitors in the E/D  cards at their airport arrival (non-declarations of length of stay are not  included).  4/ Including private accommodation.  5/ Arrivals by air at Conakry airport. Cross-checking of  ""arrivals"" and ""type of accommodation"" declared in the  E/D cards."
,,,Americas,Americas,Thousands,,,..,..,2,2,4,4,4,3,4,4,5,2,2,2.4,..,1.2,18.0,9.0,6.1,3.3,3.7,6.5,..,..,..,..,..,"1/ 1996-2000,  2003, 2005-2008, 2010-2017: arrivals by air at Conakry airport.  2/ Arrivals by air at Conakry airport.  3/ Non-resident overnights in hotels, all categories included. Data come  from length of stay in hotels that have been declared by visitors in the E/D  cards at their airport arrival (non-declarations of length of stay are not  included).  4/ Including private accommodation.  5/ Arrivals by air at Conakry airport. Cross-checking of  ""arrivals"" and ""type of accommodation"" declared in the  E/D cards."
,,,East Asia and the Pacific,East Asia and the Pacific,Thousands,,,..,..,1,1,1,1,2,2,2,2,3,3,3,1.6,..,1.0,10.0,5.0,5.7,3.6,3.2,6.2,..,..,..,..,..,"1/ 1996-2000,  2003, 2005-2008, 2010-2017: arrivals by air at Conakry airport.  2/ Arrivals by air at Conakry airport.  3/ Non-resident overnights in hotels, all categories included. Data come  from length of stay in hotels that have been declared by visitors in the E/D  cards at their airport arrival (non-declarations of length of stay are not  included).  4/ Including private accommodation.  5/ Arrivals by air at Conakry airport. Cross-checking of  ""arrivals"" and ""type of accommodation"" declared in the  E/D cards."
,,,Europe,Europe,Thousands,,,..,..,9,12,11,14,13,12,15,16,15,15,9,7.7,..,5.1,54.5,37.0,21.5,12.9,14.6,23.5,..,..,..,..,..,"1/ 1996-2000,  2003, 2005-2008, 2010-2017: arrivals by air at Conakry airport.  2/ Arrivals by air at Conakry airport.  3/ Non-resident overnights in hotels, all categories included. Data come  from length of stay in hotels that have been declared by visitors in the E/D  cards at their airport arrival (non-declarations of length of stay are not  included).  4/ Including private accommodation.  5/ Arrivals by air at Conakry airport. Cross-checking of  ""arrivals"" and ""type of accommodation"" declared in the  E/D cards."
,,,Middle East,Middle East,Thousands,,,..,..,2,4,..,..,1,2,1,1,1,1,1,0.7,..,0.3,2.0,2.0,1.2,0.7,0.7,1.1,..,..,..,..,..,"1/ 1996-2000,  2003, 2005-2008, 2010-2017: arrivals by air at Conakry airport.  2/ Arrivals by air at Conakry airport.  3/ Non-resident overnights in hotels, all categories included. Data come  from length of stay in hotels that have been declared by visitors in the E/D  cards at their airport arrival (non-declarations of length of stay are not  included).  4/ Including private accommodation.  5/ Arrivals by air at Conakry airport. Cross-checking of  ""arrivals"" and ""type of accommodation"" declared in the  E/D cards."
,,,South Asia,South Asia,Thousands,,,..,..,..,..,1,..,1,1,1,1,1,1,0,0.4,..,0.2,2.6,3.0,1.5,1.1,1.0,1.8,..,..,..,..,..,"1/ 1996-2000,  2003, 2005-2008, 2010-2017: arrivals by air at Conakry airport.  2/ Arrivals by air at Conakry airport.  3/ Non-resident overnights in hotels, all categories included. Data come  from length of stay in hotels that have been declared by visitors in the E/D  cards at their airport arrival (non-declarations of length of stay are not  included).  4/ Including private accommodation.  5/ Arrivals by air at Conakry airport. Cross-checking of  ""arrivals"" and ""type of accommodation"" declared in the  E/D cards."
,,,Other not classified,Other not classified,Thousands,,,..,..,..,..,..,..,0.4,1,6,7,5,6,5,0.9,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ 1996-2000,  2003, 2005-2008, 2010-2017: arrivals by air at Conakry airport.  2/ Arrivals by air at Conakry airport.  3/ Non-resident overnights in hotels, all categories included. Data come  from length of stay in hotels that have been declared by visitors in the E/D  cards at their airport arrival (non-declarations of length of stay are not  included).  4/ Including private accommodation.  5/ Arrivals by air at Conakry airport. Cross-checking of  ""arrivals"" and ""type of accommodation"" declared in the  E/D cards."
